Date,Open,High,Low,Close,Volume
2016-08-30,10.683,10.721,10.568,10.645,4352000
2016-08-31,10.645,10.741,10.607,10.683,6453943
2016-09-01,10.683,10.798,10.607,10.741,4410488
2016-09-02,10.76,10.913,10.741,10.798,5244204
2016-09-05,10.798,10.99,10.798,10.951,4914624
2016-09-06,10.97,10.99,10.875,10.951,4942353
2016-09-07,10.961,11.038,10.884,10.903,4340763
2016-09-08,10.922,11.019,10.826,10.999,7579412
2016-09-09,10.98,11.057,10.845,10.961,7648913
2016-09-12,10.865,10.922,10.769,10.884,6564659
2016-09-13,10.922,10.922,10.672,10.672,8354850
2016-09-14,10.749,10.826,10.692,10.73,3321418
2016-09-15,10.73,10.788,10.615,10.73,5444480
2016-09-19,10.788,10.845,10.692,10.807,4450027
2016-09-20,10.865,10.865,10.73,10.749,2963856
2016-09-21,10.672,10.749,10.634,10.711,8416954
2016-09-22,10.749,10.807,10.672,10.672,5942335
2016-09-23,10.634,10.769,10.634,10.634,4287439
2016-09-26,10.653,10.692,10.461,10.519,10771411
2016-09-27,10.422,10.576,10.422,10.557,5886180
2016-09-28,10.519,10.576,10.461,10.499,5343190
2016-09-29,10.557,10.557,10.461,10.499,4674358
2016-09-30,10.442,10.48,10.288,10.384,9386668
2016-10-03,10.538,10.538,10.422,10.442,3899134
2016-10-04,10.384,10.48,10.384,10.461,4069190
2016-10-05,10.442,10.461,10.326,10.403,4471707
2016-10-06,10.442,10.576,10.403,10.461,5082524
2016-10-07,10.499,10.499,10.422,10.461,3587723
2016-10-11,10.442,10.538,10.269,10.326,6719707
2016-10-12,10.307,10.422,10.249,10.346,6438109
2016-10-13,10.096,10.23,9.769,9.865,24730161
2016-10-14,9.922,9.922,9.788,9.884,6198292
2016-10-17,9.903,9.999,9.769,9.942,6371223
2016-10-18,9.942,10.096,9.884,10.038,6306876
2016-10-19,10.038,10.096,9.903,10.096,7083087
2016-10-20,10.076,10.153,9.999,10.076,13795012
2016-10-21,10.076,10.076,10.076,10.076,0
2016-10-24,10.23,10.249,10.019,10.134,8167354
2016-10-25,10.153,10.192,10.096,10.096,3036671
2016-10-26,10.057,10.115,9.865,9.999,7526245
2016-10-27,9.922,9.922,9.711,9.807,7830585
2016-10-28,9.788,9.788,9.615,9.672,8542359
2016-10-31,9.711,9.884,9.672,9.826,7122438
2016-11-01,9.961,10.057,9.826,9.961,7709806
2016-11-02,9.903,10.038,9.826,9.826,4599747
2016-11-03,9.846,9.942,9.826,9.826,2302861
2016-11-04,9.865,9.98,9.807,9.903,3950896
2016-11-07,9.999,10.134,9.903,10.115,7551907
2016-11-08,10.115,10.153,10.038,10.076,3381378
2016-11-09,10.096,10.153,9.769,9.999,9976559
2016-11-10,10.076,10.134,10.038,10.115,7563058
2016-11-11,10.172,10.192,9.999,10.057,5302263
2016-11-14,10.038,10.115,9.922,10.019,4216396
2016-11-15,10.172,10.172,10.057,10.096,4906774
2016-11-16,10.153,10.172,10.096,10.115,3609557
2016-11-17,10.134,10.134,9.98,10.115,6352260
2016-11-18,10.115,10.172,10.057,10.115,2319220
2016-11-21,10.115,10.192,10.076,10.115,3984595
2016-11-22,10.192,10.192,10.115,10.172,3536000
2016-11-23,10.172,10.192,10.096,10.134,2002907
2016-11-24,10.153,10.153,9.961,10.096,3280000
2016-11-25,10.172,10.172,10.057,10.096,2398000
2016-11-28,10.172,10.172,10.057,10.076,2392395
2016-11-29,10.057,10.076,9.903,10.019,4543880
2016-11-30,10.057,10.134,10.038,10.096,6259863
2016-12-01,10.076,10.115,9.98,10.076,5599089
2016-12-02,10.076,10.115,9.903,9.98,4456423
2016-12-05,9.961,10.115,9.961,10.038,3418478
2016-12-06,10.115,10.134,9.942,9.961,3865029
2016-12-07,9.961,10.076,9.961,9.98,2485548
2016-12-08,10.057,10.115,9.999,9.999,2650967
2016-12-09,9.999,10.038,9.961,10.019,3571753
2016-12-12,9.98,9.999,9.711,9.846,7955164
2016-12-13,9.711,9.884,9.711,9.846,5239898
2016-12-14,9.903,9.922,9.749,9.769,5925332
2016-12-15,9.73,9.846,9.672,9.73,6766007
2016-12-16,9.653,9.807,9.653,9.788,4835512
2016-12-19,9.73,9.826,9.672,9.769,3434588
2016-12-20,9.826,9.826,9.711,9.73,3339300
2016-12-21,9.634,9.942,9.634,9.865,3999877
2016-12-22,9.922,9.922,9.749,9.846,2740027
2016-12-23,9.884,9.884,9.73,9.826,1878092
2016-12-28,9.903,9.903,9.749,9.807,2894529
2016-12-29,9.749,9.846,9.73,9.769,3611347
2016-12-30,9.846,9.961,9.711,9.807,3752500
2017-01-03,9.922,10.019,9.865,9.999,5859154
2017-01-04,10.076,10.153,9.999,10.115,5118162
2017-01-05,10.115,10.153,10.019,10.134,4114556
2017-01-06,10.134,10.134,10.019,10.057,2669177
2017-01-09,10.096,10.153,10.076,10.134,2268074
2017-01-10,10.134,10.153,10.038,10.153,7254048
2017-01-11,10.057,10.172,10.057,10.134,3492804
2017-01-12,10.153,10.172,10.096,10.134,2437924
2017-01-13,10.192,10.192,10.096,10.134,4271251
2017-01-16,10.134,10.499,10.134,10.442,42624663
2017-01-17,10.519,10.769,10.48,10.615,27498706
2017-01-18,10.461,10.884,10.403,10.403,31887484
2017-01-19,10.288,10.288,9.826,9.999,26994600
2017-01-20,9.961,10.076,9.922,10.076,5649933
2017-01-23,10.057,10.134,9.942,9.999,5394740
2017-01-24,10.096,10.096,9.98,10.057,3917378
2017-01-25,10.076,10.096,10.019,10.076,3564550
2017-01-26,10.096,10.115,9.98,10.019,4492989
2017-01-27,10.076,10.153,10.019,10.134,4582660
2017-02-01,10.192,10.192,9.999,10.096,4097045
2017-02-02,10.153,10.172,10.019,10.038,2460756
2017-02-03,10.096,10.134,9.999,10.076,1946873
2017-02-06,10.134,10.172,10.038,10.057,2580473
2017-02-07,10.076,10.365,10.057,10.346,15760090
2017-02-08,10.365,10.749,10.269,10.672,11134050
2017-02-09,10.692,10.73,10.519,10.595,7235753
2017-02-10,10.672,10.826,10.672,10.769,9787798
2017-02-13,10.769,10.788,10.653,10.73,4386598
2017-02-14,10.769,10.769,10.442,10.73,5302306
2017-02-15,10.749,10.749,10.595,10.615,4321937
2017-02-16,10.576,10.711,10.576,10.634,6616664
2017-02-17,10.634,10.73,10.634,10.711,3427918
2017-02-20,10.711,10.769,10.615,10.749,4176000
2017-02-21,10.769,10.98,10.749,10.884,12886286
2017-02-22,10.942,10.942,10.826,10.865,6244000
2017-02-23,10.903,10.98,10.807,10.961,5181487
2017-02-24,10.999,11.019,10.749,10.98,5684634
2017-02-27,10.98,10.98,10.845,10.903,3754626
2017-02-28,10.922,10.999,10.865,10.961,6212020
2017-03-01,10.961,10.999,10.884,10.903,6351861
2017-03-02,10.942,11.019,10.903,10.98,6689036
2017-03-03,10.884,10.961,10.826,10.903,11729650
2017-03-06,10.942,11.595,10.942,11.345,24657911
2017-03-07,11.326,11.519,11.307,11.499,17073532
